headline,date,month,year,content,link,hoax
Jadwal Konser di Jawa Timur untuk Desember 2023,29,November,2023,"doyan menonton konser musik merapat ! konser musik digelar daerah Jawa Timur.Di 10 konser dihelat Surabaya . uraian lengkapnya.Artikel ditulis Nabila Meidy Sugita , peserta Magang Bersertifikat Kampus Merdeka detikcom .",https://www.detik.com/jatim/budaya/d-7062603/jadwal-konser-di-jawa-timur-untuk-desember-2023,0
Gigi Hadid Diserang Selebritas Pro-Israel,29,November,2023,"Supermodel Gigi Hadid salah vokal menyuarakan dukungannya Palestina , negara sang ayah dilahirkan . mengunggah serangkaian pernyataan media sosialnya mengusik pesohor.Salah sorotan unggahannya Ahmad Manasra , anak laki-laki Palestina ditangkap polisi Israel berusia 13 dipenjara 12 dikurangi 9,5 . dipidana dituduh menusuk petugas keamanan Israel bocah berusia 13 Yerusalem.Unggahan langsung diserang selebritas pro-Israel model Bar Refaeli produser Scooter Braun . dituduh menyebarkan informasi palsu ajakan antisemitisme . `` orang-orang , anak diculik , diculik remaja menikam warga sipil berdosa anak berusia 12 kamera 'Saya menikam orang Yahudi . ' Mari cek faktanya mempostingnya 78 juta orang , '' tulis Braun , merujuk pengikut Gigi Hadid.Gigi Hadid ketidakadilan hukum berlaku , dimana anak-anak Palestina keadilan anak-anak Israel kesalahan . mengaku memakai contoh salah menyesali menghapus unggahan . `` Fokus hak asasi manusia . menyerang manusia , orang Yahudi , BAIK-BAIK . Menyandera orang bersalah BAIK-BAIK . Menyakiti Yahudi baik-baik . salah , '' Hadid.Dia berpendapat anak-anak , Israel Palestina , berhak hak asasi manusia setara . `` anak Palestina , dituduh kejahatan mengerikan , berhak hak anak Israel situasi . ''",https://hot.detik.com/celeb/d-7062282/gigi-hadid-diserang-selebritas-pro-israel,0
"Bos CIA dan Mossad Bertemu PM Qatar, Bahas Apa?",29,November,2023,"Direktur badan intelijen pusat Amerika Serikat CIA kepala badan intelijen Israel , Mossad , dilaporkan berkunjung Doha , Qatar menggelar pertemuan Perdana Menteri Qatar Sheikh Mohammed bin Abdulrahman al-Thani pekan . dibahas ? dilansir AFP Al Arabiya , Rabu , sumber kunjungan bos CIA Mossad Direktur CIA William Burns Kepala Mossad David Barnea bertemu PM Al-Thani Doha Selasa setempat.Menurut sumber , pertemuan bertujuan 'untuk melanjutkan kemajuan kesepakatan gencatan senjata diperpanjang diskusi fase kesepakatan potensial ' terkait perpanjangan gencatan senjata Jalur Gaza . sumber , dilansir Reuters , hasil pembicaraan Doha . pejabat Mesir dilaporkan hadir pertemuan tersebut.Dalam pernyataan terpisah , pejabat AS enggan namanya menyebut Burn Doha 'pertemuan konflik Israel-Hamas diskusi sandera'.Pertemuan Burns , Barnea PM Al-Thani digelar sehari Qatar mengumumkan perpanjangan gencatan senjata Jalur Gaza , kesepakatan Israel Hamas menyetujui gencatan senjata.Qatar , lokasi markas pemimpin politik Hamas , memimpin negosiasi Israel kelompok militan Palestina . Qatar , Mesir AS mediator negosiasi itu.Para pejabat menghadiri pertemuan Selasa , sumber dikutip Reuters , membahas parameter fase kesepakatan gencatan senjata , pembebasan sandera laki-laki personel militer , perempuan anak-anak , Hamas.Simak berita selengkapnya halaman . Halaman 1 2 amerika serikat cia mossad israel qatar sheikh mohammed bin abdulla al thaniPertemuan mempertimbangkan mencapai gencatan senjata bertahan saja.Disebutkan sumber Qatar berbicara Hamas pertemuan disetujui kelompok . sumber , Israel Hamas mendiskusikan internal ide-ide dieksplorasi pertemuan . Qatar Upayakan Gencatan Senjata Berkelanjutan GazaKementerian Negeri Qatar , Selasa , mediator memanfaatkan perpanjangan jeda pertempuran Jalur Gaza mengupayakan 'gencatan senjata berkelanjutan ' Israel Hamas . `` Fokus utama , harapan , mencapai gencatan senjata berkelanjutan mengarah negosiasi , ... perang , '' juru bicara Kementerian Negeri Qatar , Majed Al Ansari , berbicara wartawan . `` , miliki . miliki ketentuan kesepakatan memperpanjang jangka Hamas menjamin pembebasan 10 sandera , '' imbuhnya.Al Ansari menyebut perpanjangan gencatan senjata 48 jam dilanjutkan pembebasan 20 sandera . `` berharap 48 jam , informasi Hamas sandera , '' ucapnya.Dia 'pelanggaran minimal ' 'merusak esensi kesepakatan'.Selama gencatan senjata , Hamas membebaskan 50 sandera wanita anak-anak Israel . Belasan warga negara asing disandera Hamas dibebaskan kesepakatan terpisah . pertukaran , Israel membebaskan 150 tahanan Palestina penjara-penjaranya.Sebagai perpanjangan gencatan senjata , Hamas setuju membebaskan tambahan 10 sandera Israel , perempuan anak-anak , harinya . , indikasi Hamas bersedia membebaskan sandera laki-laki personel militer tahan .",https://news.detik.com/internasional/d-7062492/bos-cia-dan-mossad-bertemu-pm-qatar-bahas-apa,0
"10 Konser di Surabaya Desember 2023: Ada Tulus, Isyana hingga Dewa 19",29,November,2023,"konser musik digelar Surabaya Desember 2023 . jadwalnya.Sederet musisi Tanah Air tampil menghibur warga Kota Pahlawan . Dewa 19 , Tiara Andini , Hivi lainnya.Artikel ditulis Nabila Meidy Sugita , peserta Magang Bersertifikat Kampus Merdeka detikcom .",https://www.detik.com/jatim/budaya/d-7062461/10-konser-di-surabaya-desember-2023-ada-tulus-isyana-hingga-dewa-19,0
PA 212: Kami Tak Undang Capres dan Cawapres Mana Pun di Munajat 212,29,November,2023,"Persaudaraan Alumni 212 mengundang capres cawapres kegiatan Munajat 212 Monas , Jakarta Pusat . PA 212 kegiatan murni memanjatkan doa keselamatan NKRI Palestina . `` pastikan mengundang capres-cawapres . acaranya munajat keselamatan umat menjelang Pemilu 2024 mendoakan saudara-saudara Palestina , '' Wakil Sekjen PA 212 Novel Bamukmin dihubungi detikcom , Rabu .Namun menolak capres cawapres hadir . , Novel Bamukmin , PA 212 panggung capres cawapres . Undangan terbuka , ya tolak hadir , kasih sambutan , '' katanya.Munajat 212 digelar Sabtu 03.00-09.00 WIB . Kegiatan diawali salat tahajud dilanjutkan munajat tausiah ulama.Namun persiapan panggung Jumat pagi . Novel Bamukmin mengklaim Munajat 212 dihadiri jutaan orang . `` Insyaallah 3 juta orang , '' katanya.Munajat 212 Monas , Jakarta Pusat , rencananya dihadiri tokoh ulama . Persaudaraan Alumni 212 penyelenggara Habib Rizieq Shihab hadir kegiatan . `` Habib Rizieq . At-Tin upayakan hadir , pembebasan bersyarat izin kejaksaan , '' Wasekjen PA 212 Novel Bamukmin.Novel Bamukmin mengupayakan menghadirkan Habib Rizieq Shihab kegiatan . Sore pengacara HRS berkomunikasi kejaksaan memperoleh izin . `` Sore pengacara komunikasi Kejaksaan , lihat perkembangannya , '' katanya.Ulama hadir Abdullah Gymnastiar , tokoh MUI , menantu Habib Rizieq Shihab . '' ulama-ulama elemen 212 , Aa Gym , tokoh-tokoh ulama nasional , MUI kemarin komandan Geranati , '' . '' hadir , beliau penyelenggaranya , Ketum FPI hadir , GNKPF Yusuf Martak nggak nih hadir , beliau tim AMIN , '' katanya.Kementerian Sekretariat Negara izin kegiatan Munajat 212 . Surat ditandatangani Sekretaris Kemensetneg , Setya Utama . `` Izinnya DKI , prinsip setuju syarat kegiatan politik , '' Setya , Selasa .Simak Video : Ijtima Ulama 2023 Bahas Palestina-Arah Dukungan Capres",https://news.detik.com/berita/d-7062454/pa-212-kami-tak-undang-capres-dan-cawapres-mana-pun-di-munajat-212,0
Erdogan Serukan Israel Diadili Pengadilan Internasional Atas Perang Gaza,29,November,2023,"Presiden Turki Recep Tayyip Erdogan menyerukan Israel diadili pengadilan internasional , disebutnya kejahatan perang Jalur Gaza . Seruan Erdogan berbicara via telepon Sekretaris Jenderal Perserikatan Bangsa-Bangsa Antonio Guterres.Seperti dilansir Reuters Al Arabiya , Rabu , percakapan telepon Erdogan Guterres menjelang digelarnya sidang Dewan Keamanan PBB Rabu setempat.Menurut kantor kepresidenan Turki , Erdogan Guterres membahas percakapan telepon , 'harapan komunitas internasional serangan ilegal Israel ' , akses bantuan kemanusiaan wilayah , upaya mewujudkan perdamaian abadi . `` percakapan telepon , Presiden Erdogan Israel malu-malu menginjak-injak hukum internasional , hukum perang , hukum kemanusiaan internasional memandang mata komunitas internasional , Israel bertanggung kejahatan dilakukannya hadapan hukum internasional , '' pernyataan kantor kepresidenan Turki.Israel melancarkan rentetan serangan via udara , darat laut Jalur Gaza merespons serangan mengejutkan Hamas 7 Oktober . pejabat Tel Aviv menyebut 1.200 orang , warga sipil , tewas akibat serangan Hamas . 240 orang disandera Hamas.Laporan terbaru otoritas kesehatan Gaza menyebut 15.000 orang tewas akibat rentetan serangan Israel.Kementerian Negeri Turki Menteri Negeri Hakan Fidan menghadiri pertemuan Dewan Keamanan PBB New York , Amerika Serikat .Simak berita selengkapnya halaman . Halaman 1 2 turki recep tayyip erdogan israel jalur gaza gaza kejahatan perang perserikatan bangsa-bangsa sekjen pbb antonio guterres antonio guterresDisebutkan Kementerian Negeri Turki Fidan menggelar pertemuan kelompok Menlu negara mayoritas Muslim , dibentuk Liga Arab Organisasi Kerjasama Islam membahas Gaza negara-negara Barat negara-negara lainnya.Turki mengecam keras serangan Israel Jalur Gaza menyerukan gencatan senjata diskusi solusi negara konflik Israel-Palestina luas . Erdogan menyebut serangan Israel Jalur Gaza genosida , menuduh Israel 'negara teror ' . Tel Aviv menolak tuduhan bersikeras bertindak membela serangan musuh .",https://news.detik.com/internasional/d-7062407/erdogan-serukan-israel-diadili-pengadilan-internasional-atas-perang-gaza,0
"Dubes Zuhair: Israel Lakukan Kejahatan, 6.000 Lebih Anak Palestina Dibunuh",29,November,2023,"Duta Palestina Republik Indonesia , Zuhair SM Al Shun , Israel pembunuh . gempuran Israel menewaskan 6.000 anak-anak Palestina.Hal Zuhair menghadiri acara 'Seminar Peringatan Solidaritas International Rakyat Palestina ' digelar Departemen Hubungan Internasional Fakultas Ilmu Sosial Politik Universitas Indonesia , Depok , Rabu . konferensi pers , Zuhair Israel pembunuh kejahatan . `` pembunuh , kejahatan , '' Zuhair wartawan UI , Rabu . Zuhair serangan Israel menghancurkan kehidupan manusia . Israel membunuh 6.000 anak-anak umur 10 . `` mencela kehidupan manusia , anak-anak manusia 6.000 dibunuh , 10 , '' jelasnya.Zuhair setuju aksi boikot produk Israel Indonesia . `` Menurutmu ? Pemerintah Israel . setuju boikot produk , '' katanya.Dalam acara , Keluarga Departemen HI FISIP UI menyerahkan donasi Rp 115 juta Dubes Palestina . Acara dihadiri Staf Ahli Menteri Negeri Bidang Hubungan Antar-Lembaga Muhsin Syihab guru departemen hubungan internasional FISIP UI , Evi Fitriani .",https://news.detik.com/berita/d-7062358/dubes-zuhair-israel-lakukan-kejahatan-6-000-lebih-anak-palestina-dibunuh,0
Viral Momen Haru Penyelamatan Bayi di Gaza usai Tertimpa Bangunan 37 Hari,29,November,2023,"Viral momen mengharukan penyelamatan bayi Gaza terjebak reruntuhan bangunan 37 . Bak keajaiban , bayi mungil berhasil selamat bertahan hidup.Di media sosial beredar video penyelamatan bayi Pekerja Pertahanan Sipil Palestina . Nooh Al Shaghnobi , anggota pertahanan sipil fotografer membagikan video sosial media orang-orang bayi wafat tertimpa reruntuhan . `` Lahir hari-hari perang Gaza , ayahnya martir . dilahirkan reruntuhan orang mati , '' Nooh dikutip Gulf News . `` menggambarkan perasaan ; merayakan kelahiran anak berhasil menyelamatkannya hidup-hidup reruntuhan , '' sambungnya.Di kolom komentar , netizen bingung bayi terjebak 37 mewakili usia bayi , konflik mencapai ke-53 . , orang diyakini memiliki hubungan Nooh mengklarifikasi kejadian gencatan senjata berlaku.Mereka konektivitas internet kejadian , Nooh membagikan video sebelumnya.Media melaporkan juru bicara pertahanan sipil Gaza keterlibatan anggota pertahanan sipil negara-negara Arab , beserta peralatannya , misi SAR menerima bantuan pasokan pemadam kebakaran.Mereka ribuan warga dikhawatirkan terjebak reruntuhan , ratusan jenazah RS Al-Quds RS Al-Rantisi .",https://health.detik.com/berita-detikhealth/d-7062335/viral-momen-haru-penyelamatan-bayi-di-gaza-usai-tertimpa-bangunan-37-hari,0
Munajat 212 di Monas Digelar Sabtu 2 Desember Dini Hari Diawali Tahajud,29,November,2023,"Persaudaraan Alumni 212 menggelar Munajat Kubro 212 Monas , Jakarta Pusat . Acara digelar Sabtu , 2 Desember 2023 pagi . `` Iya , Sabtu , 2 Desember , acaranya jam 03.00 WIB 09.00 WIB , '' Wasekjen PA 212 Habib Novel Bamukmin , dihubungi detikcom , Rabu .Acara diawali salat tahajud , munajat tausiah-tausiah alim ulama . Jemaah daerah Jakarta Jumat , 1 Desember . `` Jumat malam Indonesia , Lampung , keliling Jawa Barat ngundang ulama-ulama Majalengka . jam 9 malam stand by , tidur situ Monas , Istiqlal , '' jelasnya.Persiapan sarana prasarana acara Munajat Kubro 212 dilaksanakan Jumat , 1 Desember pagi . Novel Bamukmin mengklaim acara dihadiri jutaan orang . `` Persiapan Jumat pagi . Insyaallah 3 juta orang , '' katanya.Novel Bamukmin acara dihadiri tokoh ulama MUI . , Habib Rizieq Shihab hadir . `` Habib Rizieq . At-Tin upayakan hadir , pembebasan bersyarat izin kejaksaan . Sore pengacara komunikasi Kejaksaan , lihat perkembangannya , '' katanya.Lebih , Novel Bamukmin mengundang pasangan capres cawapres kegiatan . menolak hadir . `` pastikan mengundang capres-cawapres . Undangan terbuka , ya tolak hadir , kasih sambutan , '' . `` acaranya munajat keselamatan umat menjelang Pemilu 2024 mendoakan saudara-saudara Palestina , '' tambahnya.Sebagai persiapan , PA 212 menggelar rapat konferensi pers Masjid Al Ijtihad , Tebet , Jakarta Selatan , 19.00 WIB . `` Hasilnya konferensi pers , tokoh hadir persiapannya , '' tuturnya.Kementerian Sekretariat Negara mengeluarkan izin kegiatan Munajat 212 digelar Monumen Nasional . Kegiatan digelar 1-2 Desember.Surat berkop Kemensetneg dikeluarkan 28 November 2023 . Surat tercatat perihal izin penggunaan kawasan Monumen Nasional . Surat ditandatangani Sekretaris Kemensetneg , Setya Utama.Dalam isi surat , tertulis kegiatan munajat bertema 'Untuk Keselamatan NKRI Kemenangan Palestina ' digelar Jumat-Sabtu 03.00-09.00 WIB.Setya Utama membenarkan surat . prinsipnya Kemensetneg setuju kegiatan politik . izin kegiatan dikeluarkan Pemprov DKI Jakarta . `` Izinnya DKI , prinsip setuju syarat kegiatan politik , '' Setya.Simak Video : Ijtima Ulama 2023 Bahas Palestina-Arah Dukungan Capres",https://news.detik.com/berita/d-7062283/munajat-212-di-monas-digelar-sabtu-2-desember-dini-hari-diawali-tahajud,0
10 Twibbon Hari Solidaritas Internasional Bagi Rakyat Palestina 2023,29,November,2023,"Solidaritas Internasional Rakyat Palestina diperingati tanggal 29 November tahunnya . Twibbon Solidaritas Internasional Rakyat Palestina 2023 merayakannya.International Day of Solidarity with the Palestinian People Solidaritas Internasional Rakyat Palestina memperingati Resolusi 181 Majelis PBB pembagian wilayah Palestina.Hari Solidaritas Internasional Rakyat Palestina diperingati 19 November kesempatan masyarakat internasional dukungannya impian rakyat Palestina damai . Melansir laman Twibbonize , daftar link download twibbon Solidaritas Internasional Rakyat Palestina 2023 sebarkan media sosial tanggal 29 November 2023 : Langkah tinggal memasukkan foto twibbon . memasang foto twibbon : bagikan twibbon pilihanmu media sosial disertai caption kata-kata ucapan Selamat Solidaritas Internasional Rakyat Palestina 2023 .",https://news.detik.com/berita/d-7062449/10-twibbon-hari-solidaritas-internasional-bagi-rakyat-palestina-2023,0
